strategy,sampling_interval_sec,collection_duration_sec,total_generated_records,anomaly_count,total_sent_messages,total_sent_records,avg_latency_ms,avg_payload_size_bytes,total_bytes_sent,bandwidth_bytes_sec,avg_cpu_percent,avg_ram_mb,estimated_energy_wh,estimated_energy_mah
S1,1,60.62,60,7,60,60,9.081,227.9,13674,225.56,5.373,33.206,0.059809,11.961797
S2,1,60.22,60,7,12,60,13.917,1149.5,13794,229.078,4.983,32.954,0.058747,11.74935
S3,1,60.14,60,7,7,7,14.341,229.429,1606,26.703,4.143,33.203,0.058574,11.714703
